"","theta.oracle","theta.plugin","theta.weight","theta.DR","se.DR","policy.value"
"result.1",0.224755244628469,0.189919052234348,0.18496468952636,0.204827945938555,0.00451607473256815,0.0340810201127867
"result.2",0.230022755524821,0.180240695930646,0.172239571858295,0.205630873503439,0.0042337535888988,0.0331417859107876
"result.3",0.224684751598359,0.183762285408619,0.187896206017947,0.204281187513685,0.00426335207581954,0.0337588266591248
"result.4",0.233017604146035,0.197133971817926,0.185492485280777,0.209448592978467,0.0047524509189979,0.0335911999382077
"result.5",0.228845763647942,0.194766184614541,0.169307637716954,0.203723269594375,0.00434784252091668,0.0322562176149206
"result.6",0.230693395052541,0.188417327287838,0.16892971436696,0.192627911154584,0.00423865737250882,0.0329881416872251
"result.7",0.233514689120617,0.191229430639933,0.168833322638962,0.207166343668343,0.00412521673215846,0.0324827635806617
"result.8",0.225109107517983,0.181615328573213,0.167877411556226,0.194473510443978,0.00442800621848993,0.0293488596148766
"result.9",0.222252802557659,0.19111600182353,0.182083812959315,0.202812435011745,0.00433646914797056,0.0309515600640297
"result.10",0.227343956316456,0.199684014960006,0.17614441129315,0.20045191893895,0.00438579817821527,0.031424416581087
"result.11",0.228122744788592,0.192430478585381,0.181049111788729,0.208327260361984,0.00433112411032522,0.0345643254446565
"result.12",0.220510409236571,0.186537586742074,0.184048159911392,0.209586069753101,0.00450148616877192,0.0315660643462389
"result.13",0.223603851839944,0.190470204914671,0.181941807761776,0.194633861531976,0.00401613179975364,0.0324780965023382
"result.14",0.235917719983868,0.166598393792745,0.166312687899743,0.190026771360599,0.00445184852535049,0.0304916793594803
"result.15",0.223337678348401,0.17936308985611,0.181696788958721,0.194060153626885,0.00421959025803794,0.0355439958078516
"result.16",0.226099863633036,0.177305891201365,0.166550263021934,0.186616367630172,0.0041450689018561,0.0257172002613763
"result.17",0.227530827028553,0.198817013066032,0.18455399372706,0.209737483177177,0.00417625408440809,0.0342306700963403
"result.18",0.229921779390997,0.180634399566875,0.17267117225465,0.200054087038492,0.00407090258504169,0.0334495420349651
"result.19",0.232641753173479,0.199566160351954,0.180350798966065,0.214218488479421,0.00416366007884709,0.0334948853656891
"result.20",0.23190384138088,0.189511396336004,0.181067372878772,0.201679364884406,0.00471863945744383,0.034113652324651
"result.21",0.228165251639231,0.199575337323342,0.186425725687622,0.214755016548852,0.00430215904021953,0.0353240093195648
"result.22",0.230847319979275,0.179282606348049,0.172944858582963,0.209612243927241,0.00395429850742727,0.0354204901560196
"result.23",0.225344163333241,0.196514745479228,0.169877072026147,0.211661490165244,0.00448187657584619,0.0315384447141772
"result.24",0.2348731117719,0.214310264380223,0.167762025177738,0.220067721050298,0.00412529495527983,0.0342075460356554
"result.25",0.223085570696238,0.188157465471968,0.161660669471347,0.198551400554939,0.00417668373341038,0.0331778642286486
"result.26",0.228846566499812,0.192275122352289,0.168742477681115,0.198487236141285,0.00383970215919445,0.0329959304910924
"result.27",0.22854675066114,0.181054850587709,0.180724898441762,0.200533492001263,0.00455046399460221,0.0285952710699496
"result.28",0.225408654779052,0.171888398293991,0.166192835973619,0.201833145756512,0.00420971830649226,0.0349820152421022
"result.29",0.234149664022051,0.181137150953549,0.17978576403262,0.201441304464134,0.00418280035757086,0.0326411025971472
"result.30",0.228254483976268,0.202044740951513,0.193174688277236,0.209677981397398,0.00415444937381993,0.034436389657992
"result.31",0.230716540750597,0.190294437634717,0.170465546332028,0.20094898272429,0.00452884854007231,0.0289486125946824
"result.32",0.234731849357804,0.185396141203384,0.175500177978208,0.199930109182841,0.00449755816254121,0.0352368998301281
"result.33",0.226506298249736,0.193473249729783,0.174659167125385,0.203439624674949,0.00450704090117134,0.0345785673305553
"result.34",0.230773113577108,0.193752480245106,0.179964625683407,0.203832496843559,0.00442563285629972,0.0322881985768758
"result.35",0.228221088560371,0.204572865431374,0.16793790348858,0.197802703951365,0.00415911652279884,0.0316247802969108
"result.36",0.223862152818376,0.168074670462865,0.175435727661222,0.191318503855183,0.00398992564389457,0.0261379977546204
"result.37",0.224918927847229,0.19778170196765,0.181657647480433,0.203474713384595,0.00440366246281983,0.0297912643251487
"result.38",0.228007548122149,0.18839663598799,0.178850546738508,0.198231434523979,0.00423078284226305,0.0327861893280564
"result.39",0.231106741857124,0.173639168782061,0.154091232846241,0.198138198741203,0.00425806664230942,0.032382043098144
"result.40",0.227300091540549,0.180561003236304,0.186453416708626,0.201965365029007,0.00482702685644883,0.0358224033434938
